COMPOUND_ID,NAME_FOOD_DB,NEW_SMILES,FLAVOR_ID,NAME_FLAVOR,FLAVOR_GROUP
16754,3-Methyl-alpha-ionyl acetate,CC(=O)OC(C)C(C)=CC1C(C)=CCCC1(C)C,81.0,fruity,fruity
16763,2-Methyl-4-phenyl-2-butyl 2-methylpropanoate,CC(C)C(=O)OC(C)(C)CCc1ccccc1,81.0,fruity,fruity
16765,4-(Butoxymethyl)-2-methoxyphenol,CCCCOCc1ccc(O)c(OC)c1,81.0,fruity,fruity
16814,2-Methylphenyl 2-methylpropanoate,Cc1ccccc1OC(=O)C(C)C,72.0,berry,fruity
16815,Vanillin isobutyrate,COc1cc(C=O)ccc1OC(=O)C(C)C,81.0,fruity,fruity
16828,Allyl anthranilate,C=CCOC(=O)c1ccccc1N,77.0,grape,fruity
16829,cis-3-Hexenyl anthranilate,CCC=CCCOC(=O)c1ccccc1N,81.0,fruity,fruity
16831,Phenethyl anthranilate,Nc1ccccc1C(=O)OCCc1ccccc1,77.0,grape,fruity
16832,Isobutyl N-methylanthranilate,CNc1ccccc1C(=O)OCC(C)C,81.0,fruity,fruity
16833,Ethyl N-ethylanthranilate,CCNc1ccccc1C(=O)OCC,81.0,fruity,fruity
16836,Isopropyl cinnamate,CC(C)OC(=O)C=Cc1ccccc1,81.0,fruity,fruity
16837,Butyl cinnamate,CCCCOC(=O)C=Cc1ccccc1,81.0,fruity,fruity
16838,Isobutyl cinnamate,CC(C)COC(=O)C=Cc1ccccc1,81.0,fruity,fruity
16841,Cyclohexyl cinnamate,O=C(C=Cc1ccccc1)OC1CCCCC1,81.0,fruity,fruity
16843,p-Tolyl isobutyrate,Cc1ccc(OC(=O)C(C)C)cc1,81.0,fruity,fruity
16849,Hexyl phenylacetate,CCCCCCOC(=O)Cc1ccccc1,81.0,fruity,fruity
16852,1-Phenylethyl isobutyrate,CC(C)C(=O)OC(C)c1ccccc1,81.0,fruity,fruity
16853,1-Phenylethyl butyrate,CCCC(=O)OC(C)c1ccccc1,81.0,fruity,fruity
16854,2-Phenylethyl hexanoate,CCCCCC(=O)OCCc1ccccc1,71.0,banana,fruity
16855,2-Phenylethyl octanoate,CCCCCCCC(=O)OCCc1ccccc1,81.0,fruity,fruity
16862,Hexyl 2-furoate,CCCCCCOC(=O)c1ccco1,84.0,pear,fruity
16864,Furfuryl pentanoate,CCCCC(=O)OCc1ccco1,81.0,fruity,fruity
16865,2-Furanylmethyl propanoate,CCC(=O)OCc1ccco1,81.0,fruity,fruity
16866,2-Furanylmethyl butanoate,CCCC(=O)OCc1ccco1,77.0,grape,fruity
16867,Furfuryl octanoate,CCCCCCCC(=O)OCc1ccco1,81.0,fruity,fruity
16868,S-(2-Furanylmethyl) methanethioate,O=CSCc1ccco1,91.0,tropica,fruity
16870,Propyl 2-furanacrylate,CCCOC(=O)C=Cc1ccco1,81.0,fruity,fruity
16871,Isobutyl 2-furanpropionate,CC(C)COC(=O)CCc1ccco1,81.0,fruity,fruity
16872,Isoamyl 2-furanpropionate,CC(C)CCOC(=O)CCc1ccco1,81.0,fruity,fruity
16873,3-Methylbutyl 2-furanbutanoate,CC(C)CCOC(=O)CCCc1ccco1,81.0,fruity,fruity
16880,5-Dodecanolide,CCCCCCCC1CCCC(=O)O1,83.0,peach,fruity
16912,3-Acetylmercaptohexyl acetate,CCCC(CCOC(C)=O)SC(C)=O,81.0,fruity,fruity
16957,D6-Ambrettolide,O=C1CCCCC=CCCCCCCCCCO1,81.0,fruity,fruity
16966,2-Propenyl cyclohexanepentanoate,C=CCOC(=O)CCCCC1CCCCC1,81.0,fruity,fruity
16985,6-(3-Hexenyl)tetrahydro-2H-pyran-2-one,CCC=CCCC1CCCC(=O)O1,81.0,fruity,fruity
17007,Hexyl 2-methylpropanoate,CCCCCCOC(=O)C(C)C,81.0,fruity,fruity
17232,Ethyl 2-phenyl-3-furancarboxylate,CCOC(=O)c1ccoc1-c1ccccc1,74.0,cherry,fruity
17243,Dihydro-alpha-ionone,CC(=O)CCC1C(C)=CCCC1(C)C,88.0,raspberry,fruity
17244,beta-Ionyl acetate,CC(=O)OC(C)C=CC1=C(C)CCCC1(C)C,72.0,berry,fruity
17251,Nonyl isovalerate,CCCCCCCCCOC(=O)CC(C)C,81.0,fruity,fruity
17253,2-Propenyl 3-methylbutanoate,C=CCOC(=O)CC(C)C,69.0,apple,fruity
17255,2-Methylbutyl 3-methylbutanoate,CCC(C)COC(=O)CC(C)C,81.0,fruity,fruity
17257,2-Methylpropyl 3-methylbutanoate,CC(C)COC(=O)CC(C)C,81.0,fruity,fruity
17264,Carvyl propionate,C=C(C)C1CC=C(C)C(OC(=O)CC)C1,81.0,fruity,fruity
17269,alpha-Terpinyl anthranilate,CC1=CCC(C(C)(C)OC(=O)c2ccccc2N)CC1,81.0,fruity,fruity
17270,1-Ethoxy-3-methyl-2-butene,CCOCC=C(C)C,81.0,fruity,fruity
17287,"(3E,6Z)-Nonadien-1-yl acetate",CCC=CCC=CCCOC(C)=O,81.0,fruity,fruity
17300,2-Octenyl butyrate,CCCCCC=CCOC(=O)CCC,81.0,fruity,fruity
17479,Isopropyl 2-methylpropanoate,CC(C)OC(=O)C(C)C,85.0,pineapple,fruity
17546,Bornyl valerate,CCCCC(=O)OC1CC2CCC1(C)C2(C)C,72.0,berry,fruity
17557,Geranyl acetoacetate,CC(=O)CC(=O)OCC=C(C)CCC=C(C)C,81.0,fruity,fruity
17561,Geranyl 2-methylpropanoate,CC(C)=CCCC(C)=CCOC(=O)C(C)C,81.0,fruity,fruity
17573,Hexyl 2E-hexenoate,CCC=CCC(=O)OCCCCCC,81.0,fruity,fruity
17578,2-Hexenyl valerate,CCCC=CCOC(=O)CCCC,81.0,fruity,fruity
17579,2-Hexenyl isovalerate,CCCC=CCOC(=O)CC(C)C,69.0,apple,fruity
17583,cis-3-Hexenyl 3-methylbutanoate,CCC=CCCOC(=O)CC(C)C,69.0,apple,fruity
17584,cis-3-Hexenyl tiglate,CC=C(C)C(=O)OCCC=CCC,71.0,banana,fruity
17627,2-Propenyl cyclohexanebutanoate,C=CCOC(=O)CCCC1CCCCC1,81.0,fruity,fruity
17635,Methylthiomethyl butyrate,CCCC(=O)OCSC,81.0,fruity,fruity
17641,Isoamyl pyruvate,CC(=O)C(=O)OCCC(C)C,81.0,fruity,fruity
18001,Octyl formate,CCCCCCCCOC=O,81.0,fruity,fruity
18011,Geranyl propionate,CCC(=O)OCC=C(C)CCC=C(C)C,81.0,fruity,fruity
18012,Geranyl butyrate,CCCC(=O)OCC=C(C)CCC=C(C)C,69.0,apple,fruity
