COMPOUND_ID,NAME_FOOD_DB,NEW_SMILES,FLAVOR_ID,NAME_FLAVOR,FLAVOR_GROUP
3481,Ethyl 3-cyclohexylpropionate,CCOC(=O)CCC1CCCCC1,44.0,sweet,balsamic
3905,alpha-Cedrene,CC1=CCC23CC1C(C)(C)C2CCC3C,44.0,sweet,balsamic
3995,alpha-Terpinyl acetate,CC(=O)OC(C)(C)C1CC=C(C)CC1,44.0,sweet,balsamic
4430,5-Methyl-2-ethyl-pyrazine,CCc1cnc(C)cn1,44.0,sweet,balsamic
4804,trans-Caryophyllene oxide,C=C1CCC2OC2(C)CCC2C1CC2(C)C,44.0,sweet,balsamic
5380,N-Heptane,CCCCCCC,44.0,sweet,balsamic
5388,p-Menthene,CC1=CCC(C(C)C)CC1,36.0,anise,balsamic
5806,Longifolene,C=C1C2CCC3C2C(C)(C)CCCC13C,44.0,sweet,balsamic
6368,alpha-Elemol,C=CC1(C)CCC(C(C)(C)O)CC1C(=C)C,44.0,sweet,balsamic
8053,Methyl heptanoate,CCCCCCC(=O)OC,44.0,sweet,balsamic
8054,1-Heptanol,CCCCCCCO,44.0,sweet,balsamic
8056,2-Heptanone,CCCCCC(C)=O,41.0,cinnamon,balsamic
8060,4-Heptanone,CCCC(=O)CCC,44.0,sweet,balsamic
8071,"2,3-Hexanedione",CCCC(=O)C(C)=O,44.0,sweet,balsamic
8072,"3,4-Hexanedione",CCC(=O)C(=O)CC,39.0,caramel,balsamic
8073,1-Hexanol,CCCCCCO,44.0,sweet,balsamic
8078,5-Methyl-delta-valerolactone,CC1CCCC(=O)O1,44.0,sweet,balsamic
8099,1-Hydroxy-2-butanone,CCC(=O)CO,44.0,sweet,balsamic
8104,2-Hydroxy-3-methyl-2-cyclopenten-1-one,CC1CCC(=O)C1=O,39.0,caramel,balsamic
8108,5-Butyl-delta-valerolactone,CCCCC1CCCC(=O)O1,44.0,sweet,balsamic
8126,Methyl acetate,COC(C)=O,44.0,sweet,balsamic
8133,Isopentyl acetate,CC(=O)OCCC(C)C,44.0,sweet,balsamic
8135,3-Methyl-2-butenal,CC(C)=CC=O,44.0,sweet,balsamic
8152,3-Methyl-2-cyclohexen-1-one,CC1=CC(=O)CCC1,39.0,caramel,balsamic
8157,3-Methyl-2-cyclopenten-1-one,CC1=CC(=O)CC1,44.0,sweet,balsamic
8162,5-Methyl-3-hexen-2-one,CC(=O)C=CC(C)C,44.0,sweet,balsamic
8173,"4-Methyl-2,3-pentanedione",CC(=O)C(=O)C(C)C,44.0,sweet,balsamic
8179,"4-Methyl-3-penten-2-one, 9CI",CC(=O)C=C(C)C,44.0,sweet,balsamic
8182,2-Methyl-3-phenyl-2-propenal,CC(C=O)=Cc1ccccc1,44.0,sweet,balsamic
8187,4-Methyl-1-phenyl-2-pentanone,CC(C)CC(=O)Cc1ccccc1,44.0,sweet,balsamic
8189,2-Methyl-1-phenyl-2-propanyl acetate,CC(=O)OC(C)(C)Cc1ccccc1,44.0,sweet,balsamic
8209,"6-Methyl-3,5-heptadien-2-one",CC(=O)C=CC=C(C)C,41.0,cinnamon,balsamic
8224,"5-Methyl-2,3-hexanedione",CC(=O)C(=O)CC(C)C,44.0,sweet,balsamic
8230,"2,3-Pentanedione",CCC(=O)C(C)=O,44.0,sweet,balsamic
8231,1-Pentanol,CCCCCO,44.0,sweet,balsamic
8237,Ethyl 4-pentenoate,C=CCCC(=O)OCC,39.0,caramel,balsamic
8246,Phenoxyacetic acid,O=C(O)COc1ccccc1,44.0,sweet,balsamic
8247,Allyl phenoxyacetate,C=CCOC(=O)COc1ccccc1,42.0,honey,balsamic
8254,4-Phenyl-3-buten-2-ol,CC(O)C=Cc1ccccc1,44.0,sweet,balsamic
8256,Benzylideneacetone,CC(=O)C=Cc1ccccc1,36.0,anise,balsamic
8257,Ethyl 4-phenylbutanoate,CCOC(=O)CCCc1ccccc1,44.0,sweet,balsamic
8258,2-Phenyl-2-butenal,CC=C(C=O)c1ccccc1,44.0,sweet,balsamic
8264,1-Phenyl-2-pentanol,CCCC(O)Cc1ccccc1,44.0,sweet,balsamic
8268,1-Phenyl-1-propanol,CCC(O)c1ccccc1,44.0,sweet,balsamic
8272,3-Phenylpropanoic acid,O=C(O)CCc1ccccc1,44.0,sweet,balsamic
8288,Pentyl propanoate,CCCCCOC(=O)CC,44.0,sweet,balsamic
8295,Ethyl pyruvate,CCOC(=O)C(C)=O,44.0,sweet,balsamic
8297,"1,1-Diethoxyethane",CCOC(C)OCC,42.0,honey,balsamic
8342,4-Propyl-gamma-butyrolactone,CCCC1CCC(=O)O1,44.0,sweet,balsamic
8348,"2,4-Heptadienal",CC=CC=CCC=O,41.0,cinnamon,balsamic
8367,2-Ethylbutyl acetate,CCC(CC)COC(C)=O,44.0,sweet,balsamic
8380,3-(Methylthio)-1-propanol,CSCCCO,44.0,sweet,balsamic
8394,4-Hexyl-gamma-butyrolactone,CCCCCCC1CCC(=O)O1,44.0,sweet,balsamic
8398,3-Methyl-1-phenyl-3-pentanol,CCC(C)(O)CCc1ccccc1,44.0,sweet,balsamic
8404,Ethyl maltol,CCc1occc(=O)c1O,44.0,sweet,balsamic
8409,"7-Hydroxy-3,7-dimethyloctanal",CC(CC=O)CCCC(C)(C)O,44.0,sweet,balsamic
8435,Propyl benzoate,CCCOC(=O)c1ccccc1,37.0,balsam,balsamic
8536,"3-(5,6,6-Trimethylbicyclo[2.2.1]hept-1-yl)cyclohexanol",CC1C2CC(CC2C2CCCC(O)C2)C1(C)C,44.0,sweet,balsamic
8540,5-Methyl-2-phenyl-2-hexenal,CC(C)CC=C(C=O)c1ccccc1,44.0,sweet,balsamic
8544,Norfuraneol,Cc1occ(O)c1O,39.0,caramel,balsamic
8546,2-Acetylpyrazine,CC(=O)c1cnccn1,40.0,chocolate,balsamic
8549,Methyleugenol,C=CCc1ccc(OC)c(OC)c1,36.0,anise,balsamic
8711,4-Hydroxy-3-methoxybenzenemethanol,COc1cc(CO)ccc1O,36.0,anise,balsamic
8723,4-Ethylbenzaldehyde,CCc1ccc(C=O)cc1,44.0,sweet,balsamic
8731,Guaicyl acetate,COc1ccccc1OC(C)=O,44.0,sweet,balsamic
8740,Benzoic acid,O=C(O)c1ccccc1,37.0,balsam,balsamic
8741,Isopropyl benzoate,CC(C)OC(=O)c1ccccc1,44.0,sweet,balsamic
8742,Butyl benzoate,CCCCOC(=O)c1ccccc1,37.0,balsam,balsamic
8746,Benzyl alcohol,OCc1ccccc1,44.0,sweet,balsamic
8747,Butyl 3-methylbutanoate,CCCCOC(=O)CC(C)C,44.0,sweet,balsamic
8749,Hexyl 3-methylbutanoate,CCCCCCOC(=O)CC(C)C,44.0,sweet,balsamic
8752,Propyl 3-methylbutanoate,CCCOC(=O)CC(C)C,44.0,sweet,balsamic
8759,alpha-Terpinyl butanoate,CCCC(=O)OC(C)(C)C1CC=C(C)CC1,37.0,balsam,balsamic
8764,Eugenyl benzoate,C=CCc1ccc(OC(=O)c2ccccc2)c(OC)c1,37.0,balsam,balsamic
8782,3-Phenyl-2-propenal,O=CC=Cc1ccccc1,41.0,cinnamon,balsamic
8788,1-Methoxy-2-methylbenzene,COc1ccccc1C,44.0,sweet,balsamic
8793,Dibenzyl disulfide,c1ccc(CSSCc2ccccc2)cc1,39.0,caramel,balsamic
8794,Dibenzyl ether,c1ccc(COCc2ccccc2)cc1,40.0,chocolate,balsamic
8860,2-Methoxy-4-propylphenol,CCCc1ccc(O)c(OC)c1,36.0,anise,balsamic
8863,2-Methoxy-4-methylphenol,COc1cc(C)ccc1O,45.0,vanilla,balsamic
8865,"3,4-Dimethoxybenzaldehyde",COc1ccc(C=O)cc1OC,39.0,caramel,balsamic
8866,"1,2-Dimethoxybenzene",COc1ccccc1OC,44.0,sweet,balsamic
8867,"2',4'-Dimethylacetophenone",CC(=O)c1ccc(C)cc1C,44.0,sweet,balsamic
8869,"2,4-Dimethylbenzaldehyde",Cc1ccc(C=O)c(C)c1,45.0,vanilla,balsamic
8879,"2,6-Dimethylphenol",Cc1cccc(C)c1O,44.0,sweet,balsamic
9067,alpha-Campholene acetate,CC(=O)OCCC1CC=C(C)C1(C)C,44.0,sweet,balsamic
9191,cis-4-Octenol,CCCC=CCCCO,44.0,sweet,balsamic
9194,Citronellyl anthranilate,CC(C)=CCCC(C)CCOC(=O)c1ccccc1N,44.0,sweet,balsamic
9288,"4,5-Dihydro-2,5-dimethyl-4-oxo-3-furanyl butyrate",CCCC(=O)Oc1c(C)oc(C)c1O,44.0,sweet,balsamic
9392,Ethyl 2-hexenoate,CCC=CCC(=O)OCC,44.0,sweet,balsamic
9394,(+/-)-Ethyl 2-hydroxy-2-methylbutyrate,CCOC(=O)C(C)(O)CC,39.0,caramel,balsamic
9397,Ethyl 3-mercaptobutyrate,CCOC(=O)CC(C)S,44.0,sweet,balsamic
9484,Geranyl tiglate,CC=C(C)C(=O)OCC=C(C)CCC=C(C)C,44.0,sweet,balsamic
9553,Hept-trans-2-en-1-yl acetate,CCCCC=CCOC(C)=O,44.0,sweet,balsamic
9554,Hept-2-en-1-yl isovalerate,CCCCC=CCC(C(=O)O)C(C)C,44.0,sweet,balsamic
9559,"2,4-Hexadien-1-ol",CC=CC=CCO,44.0,sweet,balsamic
9566,Hexanal hexyl isoamyl acetal,CCCCCCOC(CCCCC)OCCC(C)C,44.0,sweet,balsamic
9571,3-Hexenyl 2-methylbutyrate,CCC=CCCOC(=O)C(C)CC,44.0,sweet,balsamic
9611,2-(2-Hydroxyphenyl) cyclopropanecarboxylic acid delta lactone,O=C1Oc2ccccc2C2CC12,45.0,vanilla,balsamic
9637,Isoborneol,CC1(C)C2CCC1(C)C(O)C2,37.0,balsam,balsamic
9638,Isobornyl isobutyrate,CC(C)C(=O)OC1CC2CCC1(C)C2(C)C,37.0,balsam,balsamic
9643,(+/-)-Isobutyl 3-methylthiobutyrate,CSC(C)CC(=O)OCC(C)C,44.0,sweet,balsamic
9788,Menthyl valerate,CCCCC(=O)OC1CC(C)CCC1C(C)C,44.0,sweet,balsamic
9819,"Methylbenzyl acetate (mixed o-, m-, p-)",CC(=O)OC(C)c1ccccc1,44.0,sweet,balsamic
9847,3-Methyl-2(3-methylbut-2-en-1-yl)furan,CC(C)=CCc1occc1C,39.0,caramel,balsamic
9849,Methyl 3-(methylthio)butanoate,COC(=O)CC(C)SC,44.0,sweet,balsamic
10078,Phthalide,O=C1OCc2ccccc21,44.0,sweet,balsamic
10079,Phytyl acetate,CC(=O)OCC=C(C)CCCC(C)CCCC(C)CCCC(C)C,37.0,balsam,balsamic
10158,Pseudoionone,CC(=O)C=CC=C(C)CCC=C(C)C,44.0,sweet,balsamic
10231,Santalol (alpha and beta),CC(=CCCC1(C)C2CC3C(C2)C31C)CO,44.0,sweet,balsamic
10233,Santalyl phenylacetate,C=C1C2CCC(C2)C1(C)CCC=C(C)COC(=O)Cc1ccccc1,42.0,honey,balsamic
10418,"4-(2,6,6-Trimethylcyclohex-1-enyl)but-2-en-4-one",CC=CC(=O)C1=C(C)CCCC1(C)C,42.0,honey,balsamic
10442,Valeraldehyde dibutyl acetal,CCCCOC(CCCC)OCCCC,44.0,sweet,balsamic
